"","PC1","PC2","PC3","PC4"
"13_1979",-0.05870293775462,-0.191910873940914,0.0390776688898269,-0.397959781576708
"14_1970",0.031754422716689,-0.0895765141089795,0.0463202109203651,0.0840724085038637
"14_1971",0.0242878235205283,-0.119477684736311,0.0327510715015604,0.0435558142142995
"14_1972",0.0188539853659989,-0.139164296918356,0.0513951572757593,0.113798634835156
"14_1973",-0.0159297206262187,-0.198057131253716,0.0724455819831877,0.216664482480377
"14_1974",-0.0383451190504968,-0.212581085307105,0.113324757929823,0.28157273105625
"14_1975",-0.0376499932478356,-0.212515704887857,0.131614300378973,0.286429631214912
"14_1976",-0.0584990265496859,-0.219190857101029,0.123436688678899,0.266194426453109
"14_1977",-0.0667588506713647,-0.214816787705258,0.14607487683843,0.274325271333344
"14_1978",-0.0686402929279345,-0.216951497228535,0.12533862189609,0.265815832721559
"14_1979",-0.0737160989379769,-0.223475467892753,0.116277772974677,0.206499995914285
"15_1970",0.000784877291653043,-0.178180704290849,0.0306093022220775,0.0496283443589249
"15_1971",-0.00410198085154224,-0.196301796902251,0.0209285694797821,0.027237506783528
"15_1972",-0.0183333330839143,-0.216785660865781,0.0176193676079719,0.0382254961322797
"15_1973",-0.0316004608206388,-0.229990985832032,0.0351246856337712,0.0730253664549705
"15_1974",-0.052904532196357,-0.246486835095095,0.0635556995549384,0.0928954373349196
"15_1975",-0.0336895632638868,-0.227684833476571,0.0579982274074687,0.110415376396363
"15_1976",-0.0610291915012566,-0.240484369106743,0.0871087402220111,0.0950476802681265
"15_1977",-0.0661387339436613,-0.230610647216192,0.080893691163384,0.0826359717158072
"15_1978",-0.0793325128263853,-0.218499743826282,0.0981320447889472,0.0668901003892607
"15_1979",-0.0742153760585629,-0.210422841030106,0.0919705803710966,0.0492965738486115
"18_1970",-0.00192666846593211,-0.146369992564172,-0.0219873714809768,-0.150363256320836
"18_1971",-0.0152091465241717,-0.179344875279088,-0.0334414511683961,-0.200252401593224
"18_1972",-0.0179549444973422,-0.181262252897757,-0.0188034072849985,-0.193873558342962
"18_1973",-0.0167966827204289,-0.171479974423622,-0.0243722568225361,-0.168888281584304
"18_1974",-0.015369526834325,-0.12843415132925,-0.0679170183576706,-0.0745444292481012
"18_1975",0.0125032903286251,-0.085687460444841,-0.0440781852682403,-0.0782166486361557
"18_1976",0.01336303451593,-0.116206283343827,-0.00618316893041055,-0.0856743791521431
"18_1977",-0.00568526897244531,-0.144054531157929,-0.0435584025861426,-0.0970677601954079
"18_1978",0.00515678346420133,-0.141912011128768,-0.0159122085549988,-0.110238108143972
"18_1979",-0.0233400674685864,-0.10981905508017,-0.124880961429421,-0.119782391373672
"22_1970",-0.0418443725230263,-0.163909670920308,-0.117916237121068,-0.0662502002316407
"22_1971",-0.0556807389464898,-0.178503167277535,-0.105478190164067,-0.0871412953452995
